,name,id,price,promo_price,brand,url
0,"Ownat Adult Grain Free Сухой корм беззерновой для взрослых собак, с ягненком, 3 кг",1042254,2 729 ₽,2 729 ₽,Ownat,https://4lapy.ru/product/ownat-adult-grain-free-suhoj-korm-bezzernovoj-dlya-vzroslyh-sobak-s-yagnenkom-3-kg-2887-1042254/
1,"Grandin Hypoallergenic Гипоаллергенный сухой корм для собак всех пород, ягненок, 11,2 кг",1049893,10 499 ₽,10 499 ₽,Grandin,https://4lapy.ru/product/grandin-hypoallergenic-gipoallergennyj-suhoj-korm-dlya-sobak-vseh-porod-yagnenok-11-2-kg-2803-1049893/
2,"Grandorf Сухой корм для взрослых собак средних и крупных пород, ягненок с индейкой, 3 кг",1040156,3 815 ₽,3 815 ₽,Grandorf,https://4lapy.ru/product/grandorf-suhoj-korm-dlya-vzroslyh-sobak-srednih-i-krupnyh-porod-yagnenok-s-indejkoj-3-kg-2879-1040156/
3,"Ownat Grain Free Hypoallergenic Корм сухой гипоаллергенный для собак с лососем, 3 кг",1056723,4 329 ₽,4 329 ₽,Ownat,https://4lapy.ru/product/ownat-grain-free-hypoallergenic-korm-suhoj-gipoallergennyj-dlya-sobak-s-lososem-3-kg-2904-1056723/
4,"Ownat Adult Care Dermatologic Сухой корм для собак всех пород склонных к дерматологической чувствительности, с лососем, 3 кг",1053532,3 459 ₽,3 459 ₽,Ownat,https://4lapy.ru/product/ownat-adult-care-dermatologic-suhoj-korm-dlya-sobak-vseh-porod-sklonnyh-k-dermatologicheskoj-chuvstvitelnosti-s-lososem-3-kg-2902-1053532/
5,"Ownat Adult Classic Сухой корм для собак, с уткой, 4 кг",1050754,2 379 ₽,2 379 ₽,Ownat,https://4lapy.ru/product/ownat-adult-classic-suhoj-korm-dlya-sobak-s-utkoj-4-kg-2899-1050754/
6,"Ownat Medium Sterilized Ultra Сухой корм для стерилизованных собак средних пород, 3 кг",1040788,3 359 ₽,3 359 ₽,Ownat,https://4lapy.ru/product/ownat-medium-sterilized-ultra-suhoj-korm-dlya-sterilizovannyh-sobak-srednih-porod-3-kg-2885-1040788/
7,"Ownat Medium Adult Ultra Сухой корм для собак средних пород, с ягненком и рисом, 3 кг",1042260,3 199 ₽,3 199 ₽,Ownat,https://4lapy.ru/product/ownat-medium-adult-ultra-suhoj-korm-dlya-sobak-srednih-porod-s-yagnenkom-i-risom-3-kg-2891-1042260/
8,"Grandin Holistic Сухой корм для собак средних и крупных пород, с ягненком, 11,2 кг",1051885,9 999 ₽,9 999 ₽,Grandin,https://4lapy.ru/product/grandin-holistic-suhoj-korm-dlya-sobak-srednih-i-krupnyh-porod-s-yagnenkom-11-2-kg-2806-1051885/
9,"Grandin Holistic Сухой корм для щенков, с ягненком и лососем, 2,7 кг",1051886,2 800 ₽,2 800 ₽,Grandin,https://4lapy.ru/product/grandin-holistic-suhoj-korm-dlya-shchenkov-s-yagnenkom-i-lososem-2-7-kg-2807-1051886/
10,"UNICA Mono All Breed сухой корм для собак всех пород с форелью, 12 кг",1053816,6 799 ₽,6 799 ₽,UNICA,https://4lapy.ru/product/unica-mono-all-breed-suhoj-korm-dlya-sobak-vseh-porod-s-forelyu-12-kg-2972-1053816/
11,"АВВА Natural Ingredients Сухой корм для взрослых собак с ягненком и рисом, 12 кг",1042245,6 299 ₽,6 299 ₽,АВВА,https://4lapy.ru/product/avva-natural-ingredients-suhoj-korm-dlya-vzroslyh-sobak-s-yagnenkom-i-risom-12-kg-2774-1042245/
12,"Grandorf Сухой корм для взрослых собак мелких пород, четыре вида мяса, 1 кг",1040162,1 735 ₽,1 735 ₽,Grandorf,https://4lapy.ru/product/grandorf-suhoj-korm-dlya-vzroslyh-sobak-melkih-porod-chetyre-vida-myasa-1-kg-2870-1040162/
13,,1040150,1 599 ₽,1 599 ₽,Grandorf,https://4lapy.ru/product/grandorf-suhoj-korm-dlya-shchenkov-vseh-porod-s-yagnenkom-i-indejkoj-1kg-2864-1040150/
14,"Ownat Grain Free Just Сухой корм беззерновой для собак, с лососем и морепродуктами, 3 кг",1042255,2 729 ₽,2 729 ₽,Ownat,https://4lapy.ru/product/ownat-grain-free-just-suhoj-korm-bezzernovoj-dlya-sobak-s-lososem-i-moreproduktami-3-kg-2888-1042255/
15,"Ownat Adult Classic Корм сухой для собак, с рыбой, 4 кг",1050747,2 159 ₽,2 159 ₽,Ownat,https://4lapy.ru/product/ownat-adult-classic-korm-suhoj-dlya-sobak-s-ryboj-4-kg-2898-1050747/
16,"Royal Canin Gastrointestinal GI25 Сухой корм для собак при нарушении пищеварения, 2 кг",1003527,2 999 ₽,2 999 ₽,Royal Canin,https://4lapy.ru/product/royal-canin-gastro-intestinal-gi25-korm-dlya-sobak-pri-narushenii-pishchevareniya-2-kg-3235-1003527/
17,,1044810,9 199 ₽,9 199 ₽,Ownat,https://4lapy.ru/product/ownat-adult-grain-free-suhoj-korm-dlya-vzroslyh-sobak-s-utkoj-14-kg-2894-1044810/
18,"Royal Canin Hypoallergenic Small Dog Сухой корм диетический для собак малых пород весом менее 10 кг с пищевой аллергией, 1 кг",1003973,1 719 ₽,1 719 ₽,Royal Canin,https://4lapy.ru/product/royal-canin-hypoallergenic-hsd-24-small-dog-under-10kg-dlya-sobak-malyh-porod-s-pishchevoj-aallergiej-1-kg-3237-1003973/
19,"АВВА Grain Free Сухой корм беззерновой для взрослых собак всех пород, с ягнёнком и картофелем, 3 кг",1059383,1 719 ₽,1 719 ₽,АВВА,https://4lapy.ru/product/avva-korm-suhoj-bezzernovoj-na-osnove-svezhego-myasa-dlya-vzroslyh-sobak-vsehporod-s-yagnenkom-i-kartofelem-3-kg-83038-1059383/
20,"Royal Canin Gastrointestinal Low Fat Сухой корм для собак мелких пород, 1 кг",1045489,1 675 ₽,1 675 ₽,Royal Canin,https://4lapy.ru/product/royal-canin-korm-suhoj-dlya-sobak-melkih-porod-gastrointestinal-lou-fet-3255-1045489/
21,"АВВА Сухой корм полнорационный для взрослых собак всех пород с чувствительным пищеварением, индейка и рис, 3 кг",1059389,1 699 ₽,1 699 ₽,АВВА,https://4lapy.ru/product/avva-korm-suhoj-polnoratsionnyj-dlya-vzroslyh-sobak-vseh-porod-s-chuvstvitelnym-pishchevareniem-indejka-i-ris-3-kg-83044-1059389/
22,"Grandorf Сухой корм для взрослых собак мелких пород, ягненок с индейкой, 1 кг",1040154,1 599 ₽,1 599 ₽,Grandorf,https://4lapy.ru/product/grandorf-suhoj-korm-dlya-vzroslyh-sobak-melkih-porod-yagnenok-s-indejkoj-1-kg-2866-1040154/
23,"PRO PLAN® Veterinary Diets Purina Veterinary Diets UR Urinary Сухой диетический корм при болезнях нижних отделов мочевыводящих путей у собак, 3 кг",1003404,5 975 ₽,5 975 ₽,PRO PLAN® Veterinary Diets,https://4lapy.ru/product/purina-veterinary-diets-ur-urinary-suhoj-korm-dlya-vzroslyh-sobak-dlya-rastvoreniya-struvitnyh-kamnej-3-kg-3220-1003404/
24,,1058736,1 179 ₽,1 179 ₽,UNICA,https://4lapy.ru/product/unica-korm-suhoj-dlya-vzroslyh-sobak-melkih-porod-dlya-resheniya-problem-s-pishchevareniem-800-gr-2399-1058736/
25,"PRO PLAN® Veterinary Diets Purina Veterinary Diets EN Gastrointestinal Сухой корм для щенков и взрослых собак при расстройствах пищеварения и экзокринной недостаточности поджелудочной железы, 1,5 кг",1015451,3 199 ₽,3 199 ₽,PRO PLAN® Veterinary Diets,https://4lapy.ru/product/purina-veterinary-diets-en-gastrointestinal-suhoj-korm-dlya-shchenkov-i-vzroslyh-sobak-pri-rasstrojstvah-pishchevareniya-i-ekzokrinnoj-nedostatochnosti-podzheludochnoj-zhelezy-1-5-kg-3221-1015451/
26,"АВВА Fresh Meat Сухой корм для взрослых собак всех пород, с ягненком и рисом, 3 кг",1059387,1 779 ₽,1 779 ₽,АВВА,https://4lapy.ru/product/avva-korm-suhoj-na-osnove-svezhego-myasa-dlya-vzroslyh-sobak-vseh-porod-s-yagnenkom-i-risom-3-kg-83042-1059387/
27,"Royal Canin Gastro Intestinal Low Fat LF22 Сухой корм для собак при нарушении пищеварения, 1,5 кг",1009201,2 447 ₽,2 447 ₽,Royal Canin,https://4lapy.ru/product/royal-canin-gastro-intestinal-low-fat-lf22-korm-dlya-sobak-pri-narushenii-pishchevareniya-1-5-kg-3239-1009201/
28,"Royal Canin Maxi Puppy Сухой корм для щенков крупных пород в возрасте с 2 до 15 месяцев, 15 кг",1001305,9 215 ₽,9 215 ₽,Royal Canin,https://4lapy.ru/product/royal-canin-maxi-junior-32-korm-dlya-shchenkov-s-2-do-15-mesyatsev-15-kg-2579-1001305/
29,"АВВА Grain Free Adult Сухой корм для собак всех пород старше 1 года, с ягненком и картофелем, 3 кг",1018148,1 719 ₽,1 719 ₽,АВВА,https://4lapy.ru/product/avva-premium-grain-free-adult-suhoj-korm-dlya-sobak-vseh-porod-starshe-1-goda-s-yagnenkom-i-kartofelem-3-kg-2766-1018148/
